UMAP1,UMAP2
4.627454,3.41455
0.6287809,5.623016
2.2430103,5.9199247
4.9246173,4.4958572
-0.90092295,5.0096784
1.5804238,6.70243
1.2625664,5.6643047
-3.5977836,4.996867
-3.1171243,4.503747
2.4221587,6.0705132
-1.2447712,5.6568885
-2.3150384,5.1977086
2.494032,5.374998
-1.027805,5.547228
-0.09909249,4.793036
-2.5019348,4.25796
0.5312265,4.226255
5.10681,3.5381632
0.731007,4.076019
2.1326826,5.2745886
-0.39834023,6.0098624
2.1305492,3.6176457
0.87415373,6.7643476
-2.6010227,5.2877164
-0.5303674,5.0314035
4.903051,3.2867196
4.3263226,2.9836724
1.1439052,3.8795311
5.0028305,3.427081
-3.7454944,4.681099
1.1842555,4.8517337
5.2205257,3.1746492
5.399227,3.355604
0.3632502,6.530847
1.5138284,6.200826
0.92458403,6.6263075
4.181398,3.98324
5.013025,3.9158597
4.8430862,4.6510434
-0.19441354,6.306182
5.1954885,3.6908164
-1.0568577,5.841812
-2.1217144,5.128249
-1.8426317,4.372929
-3.0360181,4.526832
1.323098,5.94668
0.9236968,6.3367767
2.2507486,5.5525937
0.88891244,5.454504
4.925961,4.593084
3.7324061,4.223074
-1.4563402,4.1948476
0.96944577,3.8656163
-3.2743933,5.0216937
-3.9312267,4.637971
3.6622472,5.0759277
4.516271,3.7575927
-0.16783689,5.8879514
-3.6008108,4.5443172
3.9558868,4.5785017
-4.1669683,5.183295
0.8860108,5.4002223
1.6926651,5.356049
4.946357,4.053929
4.618165,3.1214473
0.88819903,3.6906567
5.146514,3.0526311
-1.5474921,4.0987906
-3.0167978,4.9938054
2.749314,5.192003
2.520414,5.7082014
2.069417,6.3763995
3.6306574,4.7435713
-2.348987,4.179594
-3.6008108,5.3284144
-4.0790615,4.93014
1.1645557,5.504196
-3.9812944,4.915436
0.23972294,4.1807947
2.5352697,6.213002
3.898663,3.946962
2.7492359,3.0196433
-2.6905708,5.254117
0.63721573,3.6884863
3.1682312,4.45059
-0.98062336,4.905961
-0.80740196,5.297077
2.8235865,3.0237734
2.941779,2.9258971
-2.461518,5.3181314
-1.2225878,4.364739
-2.6293375,4.546167
-0.5394838,5.236669
3.9584973,4.10473
4.773357,3.6321669
-1.3593179,3.940733
-1.0050002,4.026098
5.389887,3.2488353
-2.183188,3.9754171
4.7531433,4.6420236
-0.66694593,4.724379
2.6321692,3.0618622
-0.19232579,5.9250393
3.0586603,6.054109
-0.5499471,5.5622716
1.2924947,5.154032
5.026647,3.7058768
2.7258897,5.232006
1.8649126,3.533963
2.6415484,5.255576
-2.7328355,4.2258067
-3.891642,5.123023
5.4215693,3.3193483
4.1098046,5.0083394
-2.9669006,4.5561576
-2.534992,5.446925
3.5567288,4.2833214
-1.1109118,3.9725401
0.39477152,4.4588423
1.488725,6.2244473
2.0224967,5.105877
-1.0322686,5.6728444
-4.250861,5.163407
-2.853348,5.0402646
0.7154134,5.843549
2.185301,6.3185406
4.046888,3.152751
1.5253079,4.8313956
-2.5994809,5.5276937
4.21641,3.8765233
-0.38216805,5.907056
-1.7014776,3.8943548
4.572139,2.9730382
-1.9726601,4.0753345
-1.723303,4.2130847
-1.6977772,4.5846534
1.5736524,3.3994055
2.3334217,3.706359
-1.8674777,5.3633604
-4.2362533,5.0711937
2.5004725,6.0376954
1.0349212,5.390343
4.0696797,4.49457
0.4413506,4.9402003
-3.0679266,4.8965425
-2.8348467,4.3666425
2.5388002,4.8468456
4.3715734,3.8490365
-0.71637005,4.354189
4.1137414,4.5104246
4.2515697,3.446685
1.626884,4.9669337
-0.29360637,4.653873
1.1155949,6.52095
1.1397194,3.9983144
4.4772363,3.3447132
-0.006609664,5.2351084
-2.4607549,5.103062
-3.8415737,4.8190427
-3.9274757,4.417583
0.5327135,6.673782
2.539572,5.7523694
1.4459131,3.862396
2.8381114,6.030955
-0.26087928,3.9120364
3.910745,4.7865696
4.9029875,3.752499
